1532376488.24,47.9191579,-97.0646599,845
1532376488.4,47.9191579,-97.0646599,845
1532376488.61,47.9191579,-97.0646599,845
1532376488.72,47.9191578,-97.0646597,845
1532376488.88,47.9191577,-97.0646595,845
1532376489.1,47.9191576,-97.0646593,845
1532376489.41,47.9191574,-97.064659,845
1532376489.62,47.9191572,-97.0646587,845
1532376489.93,47.919157,-97.0646584,845
1532376490.14,47.9191567,-97.0646581,845
1532376490.35,47.9191565,-97.0646578,845
1532376490.66,47.9191563,-97.0646576,845
1532376490.87,47.9191563,-97.0646575,845
1532376491.18,47.9191564,-97.0646577,845
1532376491.35,47.9191566,-97.0646581,845.04
1532376491.56,47.9191569,-97.0646586,845.16
1532376491.86,47.9191572,-97.0646591,845.37
1532376492.07,47.9191576,-97.0646596,845.64
1532376492.38,47.9191579,-97.06466,845.98
1532376492.59,47.9191582,-97.0646605,846.36
1532376492.81,47.9191585,-97.0646609,846.78
1532376493.06,47.9191589,-97.0646614,847.23
1532376493.27,47.9191592,-97.0646617,847.7
1532376493.58,47.9191595,-97.0646621,848.19
1532376493.78,47.9191598,-97.0646625,848.69
1532376493.94,47.91916,-97.0646629,849.2
1532376494.25,47.9191602,-97.0646631,849.73
1532376494.46,47.9191605,-97.0646633,850.25
1532376494.77,47.9191607,-97.0646634,850.79
1532376494.93,47.9191609,-97.0646633,851.33
1532376495.13,47.919161,-97.0646631,851.88
1532376495.44,47.919161,-97.0646629,852.43
1532376495.6,47.919161,-97.0646626,852.97
1532376495.91,47.919161,-97.0646622,853.52
1532376496.11,47.9191608,-97.0646619,854.07
1532376496.32,47.9191607,-97.0646615,854.61
1532376496.58,47.9191605,-97.0646611,855.16
1532376496.79,47.9191603,-97.0646606,855.71
1532376497.1,47.9191601,-97.0646601,856.25
1532376497.25,47.9191599,-97.0646597,856.79
1532376497.46,47.9191597,-97.0646592,857.31
1532376497.77,47.9191594,-97.0646587,857.8
1532376497.98,47.9191591,-97.0646582,858.25
1532376498.23,47.9191588,-97.0646578,858.64
1532376498.44,47.9191585,-97.0646573,858.96
1532376498.65,47.9191581,-97.0646569,859.21
1532376498.96,47.9191579,-97.0646566,859.4
1532376499.16,47.9191577,-97.0646563,859.54
1532376499.47,47.9191574,-97.064656,859.64
1532376499.63,47.9191572,-97.0646558,859.71
1532376499.84,47.919157,-97.0646556,859.75
